sku,product_name,category_id,category_name,category_path
10046742,"Телевизор FUSION 40"" FLTV-40A310",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10046931,"Монитор 28"" Acer Nitro VG280Kbmiipx (16:9)/IPS(LED)/ZF/HDR Ready (HDR 10)/3840x2160/60Hz/1 ms/300nits/tbd/tbd/tbd/DP/HDMI FreeSync/tbd",91052,Мониторы,Все товары / Компьютерная техника / Периферийные устройства / Мониторы
10046984,"Процессор AMD CPU EPYC 7002 Series 24C/48T Model 7352 (2.3/3.2GHz Max Boost,128MB, 155W, SP3) Tray",91019,Процессоры (CPU),Все товары / Компьютерная техника / Комплектующие / Процессоры (CPU)
10047114,"Процессор Intel Xeon Gold 6238 (2.1GHz/30.25Mb/22cores) FC-LGA3647 ОЕМ, TDP140W, up to 1Tb DDR4-2933, CD8069504283104SRFPL",91019,Процессоры (CPU),Все товары / Компьютерная техника / Комплектующие / Процессоры (CPU)
10047491,Чайник Galaxy GL 0326 СТАЛЬНОЙ,70239164,Чайники электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Электрочайники и термопоты / Чайники электрические
10047492,Чайник Galaxy GL 0326 ГРАФИТОВЫЙ,70239164,Чайники электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Электрочайники и термопоты / Чайники электрические
10049000,"Перфоратор, SDS-Plus HiKOKI DH26PC2NSZ",61604517,Перфораторы сетевые,Все товары / Строительство и ремонт / Инструменты / Электроинструменты / Перфораторы / Перфораторы сетевые
10049233,Роутер беспроводной Huawei WS5200 V2/V3 AC1200 Wi-Fi белый,70159097,Роутеры,Все товары / Компьютерная техника / Сетевое оборудование / Оборудование Wi-Fi и Bluetooth / Роутеры
10049377,Аэрогриль Redmond RAG-247 1500Вт черный,987827,Аэрогрили,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление блюд / Аэрогрили
10049383,Соковыжималка SMEG CJF01PGEU,70335413,Соковыжималки для цитрусовых электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Соковыжималки / Соковыжималки для цитрусовых электрические
10049515,Минисистема Hyundai H-MC260 черный 60Вт/FM/USB/BT/SD/MMC/MS,90544,Музыкальные центры,Все товары / Электроника / Аудио- и видеотехника / Аудиотехника / Музыкальные центры
10051394,Гель для рук антисептический Sanitex 60мл 1 шт,68517828,Дезинфицирующие средства,Все товары / Аптека / Дезинфицирующие средства / Дезинфицирующие средства
10051846,Система автозапуска для генератора Patriot GPA 1115W (474001811),61177504,Блоки автоматики для генератора,Все товары / Строительство и ремонт / Электрика / Устройства электропитания и электростанции / Автоматика для электрогенераторов / Блоки автоматики для генератора
10053107,Кофеварка эспрессо SMEG DCF02CREU,90589,Кофеварки и кофемашины,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Кофеварки и кофемашины
10053463,"Пылесос BBK BV1503 (черный/синий), 2000Вт; с контейнером для пыли; мощность всасывания 320Вт, объем пылесборника 2.5л",16302535,Пылесосы напольные и ручные,Все товары / Бытовая техника / Техника для дома / Техника для уборки / Пылесосы напольные и ручные
10054576,"Робот-пылесос с УФ лампой Kitfort 553-КТ, 14.4 В, 2200 мАч",16302536,Роботы-пылесосы,Все товары / Бытовая техника / Техника для дома / Техника для уборки / Роботы-пылесосы
10056375,"Подсачек тел.треуг.карп ""SIWEIDA"" (L-230см,W1-60см,W2-80см) (5505081)",65332327,Подсачеки и подъёмники,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Садки и подсачеки / Подсачеки и подъёмники
10057591,"Ледобур ТОРНАДО-М2 150(R) (правое вращение, без чехла) LT-150R-1",65331772,Ледобуры,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Ледобуры / Ледобуры
10058205,Ящик для снастей Tackle Box трехполочный NISUS зеленый,65011283,Ящики рыболовные,Все товары / Спорт и отдых / Охота и рыбалка / Сумки и ящики / Ящики рыболовные
10058253,"Ящик зимний ""FishBox"" (19л) зеленый Helios",65011283,Ящики рыболовные,Все товары / Спорт и отдых / Охота и рыбалка / Сумки и ящики / Ящики рыболовные
10058260,Санки-ледянки С-6 с люверсами (1430 х 730 х 250),91572,Ледянки,Все товары / Детские товары / Детский спорт / Зимний спорт / Ледянки
10058304,"Палатка зимняя WOODLAND ICE FISH 2, 165х165х185 см (синий)",91519,Палатки туристические,Все товары / Спорт и отдых / Туризм и отдых на природе / Палатки
